SYSFACNO,FACILITY_NAME,FACILITY_CATEGORY,ADDRESS1,ADDRESS2,CITY,STATE,ZIPCODE,COUNTY,EMAIL_ADDRESS,PHONE_AREA_CODE,PHONE_NUMBER,FAX_AREA_CODE,FAX_NUMBER,INACTIVE_DATE,INACTIVE_REASON,CREATE_DATE,UPDATE_DATE,NAME_OF_CONTRACTED_SHELTER,LOCALITIES_SERVED,CONTACT_NAME,TITLE
1,Animal Resources of Tidewater,HO,P.O. Box 11535,,Norfolk,VA,23517,,artanimals@yahoo.com,757,456-1354,757,216-9272,,,1/6/05 9:05,1/12/19 15:13,,,Debra Griggs,Board Member
2,Cat/Canine Adoption & Rescue Efforts,HO,7909 Wards Road,,Rustburg,VA,24588,Campbell,,434,821-1307,,,2/26/08 16:12,Rescue group reported that they are no longer taking in animals.,1/6/05 9:05,1/14/10 14:21,,,,
4,Angels of Assisi,PR,415 Campbell Ave,,Roanoke,VA,24016,,mbrown@angelsofassisi.org,540,344-8707,,,,,1/6/05 9:05,1/1/19 10:17,,,Matthew Brown,Director of Lifesaving Operations
5,Northern VA Sheltie Rescue,HO,"977 Seminole Trail, PMB 314",,Charlottesville,VA,22901,VA,shelties@nvsr.org,703,912-4002,703,740-8742,,,1/6/05 9:05,1/8/19 10:04,,,Martha Heisel,Director
6,SOS - RORR,HO,Rescue Our Richmond Rottweiler,421 Seabury Avenue,Sandston,VA,23150,Henrico,,804,839-2594,,,12/11/12 19:44,12/11/12 SRH - Organization no longer exists,1/6/05 9:05,12/11/12 19:44,,,,
7,SOS - SAFE,HO,Saving Animals From Euthanasia,P.O. Box  29662,Henrico,VA,23242,Henrico,info@westendcatrescue.com,804,751-4501,,,,,1/6/05 9:05,1/4/19 14:31,,,Vicky Huband,President
8,"Spay/Neuter All Pets, Inc.",PR,P O Box 1277,,Louisa,VA,23093,Louisa,,540,967-3573,,,11/13/06 13:58,PER NOTES OF DR. HASKELL,1/6/05 9:05,,,,,
9,"Tidewater Rabbit Rescue, Inc.",HO,P.O. Box 8015,,Portsmouth,VA,23707,,rabbittalk@rabbitsrescued.org,757,483-2014,,,12/29/14 13:04,"12/29/14--no contact can be made with group, no #s for 2013 -AT",1/6/05 9:05,12/29/14 13:04,,,,
10,"Southeastern Virginia Golden Retriever Rescue, Education, and Training",HO,P.O. Box 8014,,Yorktown,VA,23693,,sevagrreatfosterteam@gmail.com,757,650-5980,,,,,1/6/05 9:05,1/20/19 15:20,,,Debra Morris,Foster Coordinator 
11,Shelter Adoption & Rescue Efforts,HO,P.O. Box 3307,,Richmond,VA,23228,Henrico,,804,615-3944,,,12/11/14 16:14,"No longer exist, have not taken custody of animals since at least 2013. lrw",1/6/05 9:05,12/11/14 16:14,,,,
12,Siamese Cat Rescue Center,HO,366 Meander Run Rd,,Locust Dale,VA,22948,VA,vasrc@siameserescue.org,540,6726373,540,6726373,,,1/6/05 9:05,1/8/19 13:15,,,Darrell Zwemke,VP
13,Animals in Need,HO,520 Deer Haven Lane,,Stuart,VA,24171,Patrick,,276,694-4043,,,11/13/06 13:58,PER NOTES OF DR. HASKELL,1/6/05 9:05,3/31/05 22:28,,,,
14,Cat's Cradle,HO,P O Box 2128,,Harrisonburg,VA,22801,Virginia,kirklandje@hotmail.com,540,2553377,,,,,1/6/05 9:05,1/30/19 11:32,,,Jennifer Kirkland,Executive Director
15,"Cat Rescue, Inc.",HO,1917 Benefit Rd.,,Chesapeake,VA,23322,,shawnelinda@cox.net,757,237-6112,757,432-9345,,,1/6/05 9:05,1/22/19 22:18,,,Shawne Owen,President
16,"Pet Haven and Rescue Center, The",HO,P O Box 24,,Falls Mills,VA,24613,Tazewell,debby_pethaven@verizon.net,276,326-3483,,,,,1/6/05 9:05,1/29/19 14:04,,,debby smith,director
17,Rikki's Refuge,HO,"Life Unlimited of Virginia, In",P.O. Box 1357,Orange,VA,22960,Orange,kerry@rikkisrefuge.org,540,854-0870,540,645-6366,,,1/6/05 9:05,1/27/19 13:31,,,Kerry Hilliard,ceo
18,Fredericksburg Animal Control,PU,2200 Cowan Blvd.,,Fredericksburg,VA,22401,,,540,654-5736,,,3/29/16 11:12,contracts with Spotsylvania County for animal control services -AT 3/29/16,1/6/05 9:05,3/29/16 11:12,,,,
19,"Regional Center for Animal Care & Protection (Roanoke, Botetourt, Vinton)",PU,1510 Baldwin Ave NE,,Roanoke,VA,24012,,mrector@roanokecountyva.gov,540,344-4922,540,344-4906,,,1/6/05 9:05,1/17/19 8:26,,"Roanoke City, Roanoke County, Botetourt County, Town of Vinton",Melinda W Rector, Director of Operations
20,City Cat Adoptions,HO,10024 Stonemill Road,,Richmond,VA,23233,Henrico,,804,747-9649,,,11/13/06 13:58,PER NOTES OF DR. HASKELL,1/6/05 9:05,,,,,
21,Foundation for Iguana Rescue Safety Training,HO,1237 Underwood ave.,,norfolk,VA,23513,Virginia,vbiguana@yahoo.com,757,7179723,757,7179723,,,1/6/05 9:05,2/13/19 10:41,,,Cindy Hiddemen,Secretary
23,HAPPE/Chesterfield,HO,P.O. Box 17712,,Richmond,VA,23226,Chesterfield,info@happepets.org,804,909-1631,,,,,1/6/05 9:05,1/13/19 14:50,,,Mary Morsch,Vice President
24,Little Buddies Adoption & Humane Society,HO,3293 Tilton Valley Drive,,Fairfax,VA,22033,VA,littlebuddies@erols.com,703,9463632,703,264-0387,,,1/6/05 9:05,1/25/19 10:48,,,Peggy (Little Buddies) Carlson,President
25,Save Shelter Animals - Dinwiddie,HO,22416 Shippings Rd.,,McKenney,VA,23872,Dinwiddie,SSADogpatch@aol.com,804,478-5218,,,12/18/14 15:24,12/18/14--group inactive since 2012 per representative -AT,1/6/05 9:05,12/18/14 15:24,,,,
26,Accomack County Sherriff's Office,PU,P.O. Box 149,,Accomack,VA,23303,Accomack,,757,787-1131,757,787-2310,11/13/06 13:58,PER NOTES OF DR. HASKELL,1/6/05 9:05,11/5/07 19:08,,,,
27,Adopt-A-Spot Dalmation Rescue,HO,P.O. Box 9375,,Chesapeake,VA,23321,,adoptaspotdalrescue@gmail.com,757,484-2940,,,,,1/6/05 9:05,1/31/19 14:47,,,Debbie Kidd,President
