SYSINFNO,SYSFACNO,CALENDAR_YEAR,SPECIES_VALUE,ON_HAND_JAN1,STRAYS,SEIZED,BITE_CASES,SURRENDERED,FROM_ANOTHER,FROM_ANOTHER_NOTES,OTHER,OTHER_NOTES,RECLAIMED,ADOPTED,TRANSFERRED,TRANSFERRED_NOTES,TRANSFERRED_OUT_OF_STATE,DIED,EUTHANIZED,MISC,MISC_NOTES,ON_HAND_DEC31,CREATE_DATE,UPDATE_DATE,TRANSOLD,FROM_OUT_OF_STATE
37559,1,2015,1,12,0,0,0,6,3,"Norfolk Animal Care Center, 5585 Sabre Road, Norfolk, VA; Suffolk Animal Control, 124 Forest Glen Drive, Suffolk, VA; Virginia Beach SPCA, 3040 Holland Road, Virginia Beach, VA",0,,0,11,2,"Virginia Pit Bull Response, 4513 Three Pin Lane, VA Beach, VA; Hope For Life Rescue, 610 Jack Rabbit Lane, Virginia Beach, VA",0,1,2,0,,5,2/26/16 15:31,2/26/16 15:38,0,
43014,1,2017,7,0,0,0,0,0,0,,0,,0,0,0,,0,0,0,0,,0,1/28/18 17:29,1/31/18 14:14,,0
32498,1,2014,1,11,0,0,0,6,10,"Chesapeake Animal Bureau, 2100 S Military Hwy, Chesapeake, VA 23320; VB SPCA, 3040 Holland Rd, VB 23453; Norfolk Animal Care Center, 5585 Sabre Rd, Norfolk, VA; VB Animal Control, 341 S Birdneck Rd, VB 23451; Suffolk Animal Control, 124 Forest Glen Dr, Suffolk VA 23434; PACC Rescue, PO Box 1133, Franklin, VA 23851; Peninsula SPCA, 523 J Clyde Morris Blvd, Newport News, VA 23601",0,,0,15,0,,0,0,0,0,,12,1/27/15 8:57,2/3/15 10:03,0,
32499,1,2014,2,0,0,0,0,2,4,"Virginia Beach Animal Control, 341 S Birdneck Rd, VB 23451; Peninsula SPCA, 523 J Clyde Morris Blvd, Newport News, VA 23601",0,,0,3,1,"Second Chance Habitat, PO Box 13267, Chesapeake, VA 23322",0,0,0,0,,2,1/27/15 8:57,1/31/15 15:40,0,
29223,1,2013,1,12,0,0,0,12,5,"Chesapeake Animal Control, 2100 S Military Hwy, Chesapeake VA 23320; Norfolk Animal Care Center, 5855 Sabre Road, Norfolk, VA 23502; Va Beach Animal Control, 341 S Birdneck Rd, Va Beach, VA 23456; Portsmouth Humane Society, 4022 Seaboard Ct, Portsmouth, VA 23701",0,,0,16,2,"Go Rescue, 3111 Mapleton Ave, Norfolk, VA 23504",0,0,0,0,,11,1/31/14 10:09,1/31/14 10:16,0,
29224,1,2013,2,1,3,0,0,0,0,,0,,0,2,2,"Cat Rescue, Inc, 1917 Benefit Rd, Chesapeake, VA 23322; Norfolk SPCA 916 Ballentine Blvd, Norfolk, VA 23504",0,0,0,0,,0,1/31/14 10:09,1/31/14 10:19,0,
24404,1,2012,1,14,0,0,0,3,7,"Virginia Beach Animal Control, 341 S Birdneck Rd, Virginia Beach, VA 23456; Chesapeake Animal Control 3807 Cook Blvd, Chesapeake, VA 23320; Portsmouth Humane Society, 4022 Seaboard Court, Portsmouth, VA 23701",0,,0,10,2,"Bully Advocate & Rescue Collective (BARC) PO Box 24, Windsor, VA 23487; Ring Dog Rescue, PO Box 28632, Richmond VA, 23228",0,0,0,0,,12,1/20/13 9:46,1/20/13 13:55,0,
24405,1,2012,2,0,0,0,0,1,1,"Portsmouth Humane Society, 4022 Seaboard Court, Portsmouth, VA 23701",0,,0,1,0,,0,0,0,0,,1,1/20/13 9:46,1/20/13 10:13,0,
45052,1,2018,1,1,0,0,0,0,2,"Chesapeake Animal Services, 2100 S Military Highway, Chesapeake, VA 23322
Norfolk Animal Care Center, 5855 Sabre Road, Norfolk, VA 23502",0,,0,1,0,,0,0,2,0,,0,1/12/19 15:18,1/14/19 12:29,,0
45053,1,2018,2,0,0,0,0,0,0,,0,,0,0,0,,0,0,0,0,,0,1/12/19 15:18,1/14/19 12:29,,0
